id,url,place_type,name,full_name,country_code,country,contained_within,tweet_id,bounding_box.type,bounding_box.coordinates
151b9e91272233d1,https://api.twitter.com/1.1/geo/id/151b9e91272233d1.json,city,Liverpool,"Liverpool, England",GB,United Kingdom,[],1633179575730552833,Polygon,"[[[-3.008791, 53.36489], [-2.822063, 53.36489], [-2.822063, 53.474867], [-3.008791, 53.474867]]]"
58a4c3a0d54e1400,https://api.twitter.com/1.1/geo/id/58a4c3a0d54e1400.json,admin,Central Region,"Central Region, Singapore",SG,Singapore,[],1633077720484827136,Polygon,"[[[103.749959507073, 1.2123138339349], [103.918426999964, 1.2123138339349], [103.918426999964, 1.36874499902569], [103.749959507073, 1.36874499902569]]]"
151b9e91272233d1,https://api.twitter.com/1.1/geo/id/151b9e91272233d1.json,city,Liverpool,"Liverpool, England",GB,United Kingdom,[],1633179575730552833,Polygon,"[[[-3.008791, 53.36489], [-2.822063, 53.36489], [-2.822063, 53.474867], [-3.008791, 53.474867]]]"
58a4c3a0d54e1400,https://api.twitter.com/1.1/geo/id/58a4c3a0d54e1400.json,admin,Central Region,"Central Region, Singapore",SG,Singapore,[],1633077720484827136,Polygon,"[[[103.749959507073, 1.2123138339349], [103.918426999964, 1.2123138339349], [103.918426999964, 1.36874499902569], [103.749959507073, 1.36874499902569]]]"
