created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries
Wed Mar 08 01:36:13 +0000 2023,1633280429250990080,1633280429250990080,"Granada vs Salesian College Preparatory - California High School Boys Basketball

[📅7-Mar-23 - ⌚7:00 PM]

Salesian College Preparatory vs Granada
(🏀Watch TV 🔴Live :) ⬇️

➡ https://t.co/r7OkJ8sS8n
https://t.co/YgCefLIiQs
lxjiwehwyhj",False,"[0, 231]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1537723646344474624,1537723646344474624,Timonty,2_plaxz,usa,America's source for high school sports.,,,[],False,5,31,0,Fri Jun 17 09:07:55 +0000 2022,0,,,False,False,6659,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1623642041560473601/Snl4O_rO_normal.jpg,https://pbs.twimg.com/profile_images/1623642041560473601/Snl4O_rO_normal.jpg,https://pbs.twimg.com/profile_banners/1537723646344474624/1675941410,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 01:22:39 +0000 2023,1633277015032991744,1633277015032991744,"Granada vs Salesian College Preparatory - California High School Boys Basketball

[📅7-Mar-23 | 7:00 PM]

🌀 Salesian College Preparatory vs Granada
🌐WATCHING HERE ▶️ 

🔴 https://t.co/zkBO0szb5M ⬅
https://t.co/IE2h0ZEZ2Y
mxsixoyaobw",False,"[0, 230]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1583720592540585984,1583720592540585984,Bulanbarat,dueyliest,"Arley, AL","Get the latest high school sports news, rankings, schedules, stats, scores, results, brackets & standings for high school football, soccer, ...",https://t.co/f8rmz3MEAp,"[{'url': 'https://t.co/f8rmz3MEAp', 'expanded_url': 'https://hsipschool.com/', 'display_url': 'hsipschool.com', 'indices': [0, 23]}]",[],False,3,6,0,Sat Oct 22 07:23:46 +0000 2022,0,,,False,False,8509,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1622173188909338625/pz4CbxC9_normal.jpg,https://pbs.twimg.com/profile_images/1622173188909338625/pz4CbxC9_normal.jpg,https://pbs.twimg.com/profile_banners/1583720592540585984/1675591203,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 01:13:44 +0000 2023,1633274768521859074,1633274768521859074,"Granada vs Salesian College Preparatory - California High School Boys Basketball

[📅7-Mar-23 | 7:00 PM]

🌀 Salesian College Preparatory vs Granada
🌐WATCHING HERE ▶️ 

🔴 https://t.co/wQBnuI52pC ⬅
https://t.co/yNoCB5Tgnw
mspwqshjqkk",False,"[0, 230]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1583730178903388160,1583730178903388160,Rincana cargs #23,EricaTu98150154,usa,"Ty For watching 
· Football – 1,037,234 
· Outdoor Track and Field – 605,354 
· Basketball – 540,769 
· Baseball – 482,740 
· Soccer – 459,077.",https://t.co/r422MDVUlH,"[{'url': 'https://t.co/r422MDVUlH', 'expanded_url': 'http://Rincana.com', 'display_url': 'Rincana.com', 'indices': [0, 23]}]",[],False,3,4,0,Sat Oct 22 08:01:40 +0000 2022,0,,,False,False,9719,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1624225782972420101/L90j9Duz_normal.jpg,https://pbs.twimg.com/profile_images/1624225782972420101/L90j9Duz_normal.jpg,https://pbs.twimg.com/profile_banners/1583730178903388160/1676080584,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 01:09:05 +0000 2023,1633273600525635584,1633273600525635584,"Granada Vs. Salesian College Preparatory - 2023 CIF State Div. 1 Boys Basketball Regional Final
Watch Live Full HD here: https://t.co/D0JPXjpo3n
Mar 07, 2023 | 10:00 PM EST
Location: San Pablo, CA
Pub. by CIF https://t.co/P8eMs0QVHB",False,"[0, 208]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1619394759239565312,1619394759239565312,KodeRiski Koderiski,KKoderiski23,"Indiana, USA",Streaming,https://t.co/PLcRxNYmNw,"[{'url': 'https://t.co/PLcRxNYmNw', 'expanded_url': 'https://bit.ly/3Hdq1qo', 'display_url': 'bit.ly/3Hdq1qo', 'indices': [0, 23]}]",[],False,6,121,0,Sat Jan 28 18:00:10 +0000 2023,36,,,False,False,1676,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1619395701326381056/f86tVPtd_normal.jpg,https://pbs.twimg.com/profile_images/1619395701326381056/f86tVPtd_normal.jpg,https://pbs.twimg.com/profile_banners/1619394759239565312/1674929572,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 01:07:52 +0000 2023,1633273292525309953,1633273292525309953,"Granada High School vs Salesian College Preparatory - 2023 CIF State Div. 1 Boys Basketball Regional Final

📅 Date ➠ On Tuesday. Feb 07 /2023
⏰ Time ➠ 10:00 PM
𝐋𝐢𝐯𝐞 𝐧𝐨𝐰 ➤ https://t.co/M0z6kyR1SF ☑️

San Pablo. CA
https://t.co/RzSElyCtLg",False,"[0, 236]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1591806791825752064,1591806791825752064,Bidova hergio,BHergio,United States,"Watch High School Sports. Anywhere.
Stream thousands of Live and On Demand high school sporting events from any device.",https://t.co/PduQQF3LSd,"[{'url': 'https://t.co/PduQQF3LSd', 'expanded_url': 'http://hakansia.com', 'display_url': 'hakansia.com', 'indices': [0, 23]}]",[],False,1,3,0,Sun Nov 13 14:55:12 +0000 2022,1,,,False,False,6493,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1592939228719067136/3wOneBfR_normal.jpg,https://pbs.twimg.com/profile_images/1592939228719067136/3wOneBfR_normal.jpg,https://pbs.twimg.com/profile_banners/1591806791825752064/1668621316,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 01:07:29 +0000 2023,1633273195972403200,1633273195972403200,"Dunham vs Newman
Granada vs Salesian College Preparatory
Half Moon Bay vs Chico

2023 High School Basketball Live Game
Broadcast On Demand 👉 🔗 https://t.co/zKxoHAPYw1
#Live #Stream #High #School #Basketball #Boyy #Today2023 #Playoffs",False,"[0, 233]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1557782505759338496,1557782505759338496,sports live,sportsl91472861,Pompano Beach,high school,https://t.co/Kd1B7GnmLP,"[{'url': 'https://t.co/Kd1B7GnmLP', 'expanded_url': 'https://semplak.zems.us/', 'display_url': 'semplak.zems.us', 'indices': [0, 23]}]",[],False,34,8,0,Thu Aug 11 17:34:57 +0000 2022,12,,,False,False,14102,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1557783267604307968/jbGlThT4_normal.jpg,https://pbs.twimg.com/profile_images/1557783267604307968/jbGlThT4_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 01:05:46 +0000 2023,1633272763967471616,1633272763967471616,"Granada vs. Salesian College Preparatory - California High School Boys Basketball
📅 7-Mar-23
⏰ 7:00 PM
🔴Watch Now➠ https://t.co/t3o5tZiWHv
https://t.co/psZxgLQn8z
wylsjplfuq",False,"[0, 173]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1592785572367831041,1592785572367831041,hots cheelst,sanirax4,United Stated,"High School Sports news from Media, providing content to The Star-Ledger & https://t.co/VxVwAt5UcJ || Live & on-demand video: https://t.co/VxVwAt5UcJ",https://t.co/XorOv2BIvx,"[{'url': 'https://t.co/XorOv2BIvx', 'expanded_url': 'http://hotscheelst.com', 'display_url': 'hotscheelst.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/VxVwAt5UcJ', 'expanded_url': 'http://afrtsportslive.com', 'display_url': 'afrtsportslive.com', 'indices': [75, 98]}, {'url': 'https://t.co/VxVwAt5UcJ', 'expanded_url': 'http://afrtsportslive.com', 'display_url': 'afrtsportslive.com', 'indices': [126, 149]}]",False,84,351,0,Wed Nov 16 07:44:41 +0000 2022,341,,,False,False,7053,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630801047592792064/HrugGnRf_normal.jpg,https://pbs.twimg.com/profile_images/1630801047592792064/HrugGnRf_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 01:05:37 +0000 2023,1633272728227840002,1633272728227840002,"Granada vs. Salesian College Preparatory - 2023 CIF State Boys Basketball Championships
📅 7-Mar-23
⏰ 7:00 PM
🔴Live Streaming Now➠ https://t.co/N6W3fdcYUt
https://t.co/psZxgLQn8z
gqnmwuchgi",False,"[0, 188]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1592785572367831041,1592785572367831041,hots cheelst,sanirax4,United Stated,"High School Sports news from Media, providing content to The Star-Ledger & https://t.co/VxVwAt5UcJ || Live & on-demand video: https://t.co/VxVwAt5UcJ",https://t.co/XorOv2BIvx,"[{'url': 'https://t.co/XorOv2BIvx', 'expanded_url': 'http://hotscheelst.com', 'display_url': 'hotscheelst.com', 'indices': [0, 23]}]","[{'url': 'https://t.co/VxVwAt5UcJ', 'expanded_url': 'http://afrtsportslive.com', 'display_url': 'afrtsportslive.com', 'indices': [75, 98]}, {'url': 'https://t.co/VxVwAt5UcJ', 'expanded_url': 'http://afrtsportslive.com', 'display_url': 'afrtsportslive.com', 'indices': [126, 149]}]",False,84,351,0,Wed Nov 16 07:44:41 +0000 2022,341,,,False,False,7053,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1630801047592792064/HrugGnRf_normal.jpg,https://pbs.twimg.com/profile_images/1630801047592792064/HrugGnRf_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 01:05:26 +0000 2023,1633272682040168448,1633272682040168448,"Granada vs Salesian College Preparatory - California High School Boys Basketball

[📅7-Mar-23 | 7:00 PM]

🌀 Salesian College Preparatory vs Granada
🌐WATCHING HERE ▶️ 

🔴 https://t.co/jEBgJdILcS ⬅
https://t.co/U9eITgDqL0
iqunneputtm",False,"[0, 230]","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1583714852484227072,1583714852484227072,Media hs,Mediahs2,"Washington, D.C.","💯 Get access to stream nearly 20,000 live events per year - high school, college & pro!",https://t.co/VyepCECBwv,"[{'url': 'https://t.co/VyepCECBwv', 'expanded_url': 'http://meyutras.com', 'display_url': 'meyutras.com', 'indices': [0, 23]}]",[],False,1,0,0,Sat Oct 22 07:00:46 +0000 2022,0,,,False,False,10838,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1629645100421898241/ER8xagqc_normal.jpg,https://pbs.twimg.com/profile_images/1629645100421898241/ER8xagqc_normal.jpg,https://pbs.twimg.com/profile_banners/1583714852484227072/1675592740,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Wed Mar 08 01:01:41 +0000 2023,1633271738288025600,1633271738288025600,@JeffLee913 @KansasCity @QuintonLucasKC But he is supposedly playing smaller venues so the Granada or Truman would have been perfect,False,"[40, 132]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.6332715655916503e+18,1633271565591650304,2716359609.0,2716359609,TheConnorMalone,,,,,False,0,0,False,False,,en,en,recent,2716359609,2716359609,Connor Post-Malone,TheConnorMalone,,Former Security Guard of Randy Moss for one Chiefs game,https://t.co/lfBtBAeVA8,"[{'url': 'https://t.co/lfBtBAeVA8', 'expanded_url': 'https://m.youtube.com/channel/UCktgVm8bJ2BAfRbzX9g9mdg', 'display_url': 'm.youtube.com/channel/UCktgV…', 'indices': [0, 23]}]",[],False,194,531,4,Fri Jul 18 05:15:24 +0000 2014,8191,,,False,False,4617,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1610111538852929537/1v4Ay4kt_normal.jpg,https://pbs.twimg.com/profile_images/1610111538852929537/1v4Ay4kt_normal.jpg,https://pbs.twimg.com/profile_banners/2716359609/1629775981,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
