created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,place.tweet_id
Tue Mar 07 17:22:46 +0000 2023,1633156247901073408,1633156247901073408,@fabfrenkie sorry I don't roam around in dharavi and you can't visit Mallorca,False,"[12, 77]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331520527959695e+18,1633152052795969536,1.3018678206789304e+18,1301867820678930432,fabfrenkie,,,,,False,0,0,False,False,,en,en,recent,1594572538868568064,1594572538868568064,🕊️,L3WANDOWSKII,"Barcelona, Spain","no more half measures, walter.",,,[],False,621,469,1,Mon Nov 21 06:05:04 +0000 2022,1279,,,False,False,5018,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1626477494001102849/rY_K3D7R_normal.jpg,https://pbs.twimg.com/profile_images/1626477494001102849/rY_K3D7R_normal.jpg,https://pbs.twimg.com/profile_banners/1594572538868568064/1677835284,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,
Tue Mar 07 17:05:03 +0000 2023,1633151786604195857,1633151786604195857,Mallorca suffering the longest heat wave on record https://t.co/DEblpqkZM5,False,"[0, 74]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,836505739,836505739,Lucky Eyes® Jewellery,LuckyEyesLONDON,,London will be always in fashion,https://t.co/dacLFW90D8,"[{'url': 'https://t.co/dacLFW90D8', 'expanded_url': 'https://www.luckyeyes.co.uk', 'display_url': 'luckyeyes.co.uk', 'indices': [0, 23]}]",[],False,575,885,33,Thu Sep 20 22:43:49 +0000 2012,771,,,False,False,3048,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1632302020508938240/l9G91jML_normal.jpg,https://pbs.twimg.com/profile_images/1632302020508938240/l9G91jML_normal.jpg,https://pbs.twimg.com/profile_banners/836505739/1673513474,1B95E0,000000,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,
Tue Mar 07 17:02:07 +0000 2023,1633151051065958400,1633151051065958400,"Our CEO Gabriel Subías with @SerraAndreu, Tourism Counselor of @ConselldeMca, are visiting Mallorca stand in @ITB_Berlin.

📍We are very happy. #Mallorca, with a stand of almost 600 square metres, presents itself at #ITBBerlin as a sustainable tourist destination. https://t.co/ZDmd4xIYwQ",False,"[0, 263]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,13,False,False,False,en,en,recent,633715987,633715987,World2Meet,w2mpro,Palma de Mallorca,Somos la división de viajes del grupo @Iberostar #NeweraW2M  Horario de At.cliente: lun-dom 09.00-18.00🇪🇸,https://t.co/PXMOQoMTlq,"[{'url': 'https://t.co/PXMOQoMTlq', 'expanded_url': 'http://www.w2m.com', 'display_url': 'w2m.com', 'indices': [0, 23]}]",[],False,1683,585,26,Thu Jul 12 12:48:15 +0000 2012,3606,,,True,False,2184,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1387321395999395849/s2dEo_KX_normal.jpg,https://pbs.twimg.com/profile_images/1387321395999395849/s2dEo_KX_normal.jpg,https://pbs.twimg.com/profile_banners/633715987/1616751334,C7D51F,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,
Tue Mar 07 17:01:45 +0000 2023,1633150958212358144,1633150958212358144,"Único Hotels opens 'The Lodge Mallorca', its second five star luxury hotel in the Balearic island. 

https://t.co/mULcsbAnOb",False,"[0, 124]","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,,,,,,,False,0,1,False,False,False,en,en,recent,419664131,419664131,Barcelona Global,BarcelonaGlobal,Barcelona,The private platform committed to make #Barcelona one of the best cities in the world to attract talent and develop economic activity.,https://t.co/PZ8lVKj1va,"[{'url': 'https://t.co/PZ8lVKj1va', 'expanded_url': 'http://www.barcelonaglobal.org/blog', 'display_url': 'barcelonaglobal.org/blog', 'indices': [0, 23]}]",[],False,10453,2033,211,Wed Nov 23 16:45:36 +0000 2011,1190,,,True,False,7522,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme2/bg.gif,https://abs.twimg.com/images/themes/theme2/bg.gif,False,http://pbs.twimg.com/profile_images/812393285977276416/npo0OTAv_normal.jpg,https://pbs.twimg.com/profile_images/812393285977276416/npo0OTAv_normal.jpg,https://pbs.twimg.com/profile_banners/419664131/1544792488,021B9C,C0DEED,DDEEF6,333333,True,True,False,False,False,False,False,none,[],,,,,,,,,,,
Tue Mar 07 16:51:59 +0000 2023,1633148500228866048,1633148500228866048,"2 Hour Boeing 747 Flights: 
Lufthansa Is Sending The Jumbo To Mallorca Again https://t.co/n4k3nFxP26 
.",False,"[0, 103]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,505732940,505732940,Doris-Maria Heilmann,111publishing,North America,"#Publisher #Photographer #Writer  https://t.co/1xJxZoZYex
https://t.co/SIooldTqWq…
https://t.co/nh5GNb1jbJ",https://t.co/U6UqJ0DM8w,"[{'url': 'https://t.co/U6UqJ0DM8w', 'expanded_url': 'http://about.me/ebookPR', 'display_url': 'about.me/ebookPR', 'indices': [0, 23]}]","[{'url': 'https://t.co/1xJxZoZYex', 'expanded_url': 'http://SavvyBookWriters.com/blog', 'display_url': 'SavvyBookWriters.com/blog', 'indices': [34, 57]}, {'url': 'https://t.co/SIooldTqWq', 'expanded_url': 'http://books2read.com/ap/n4EYY8/Dori', 'display_url': 'books2read.com/ap/n4EYY8/Dori', 'indices': [58, 81]}, {'url': 'https://t.co/nh5GNb1jbJ', 'expanded_url': 'http://111Publishing.com', 'display_url': '111Publishing.com', 'indices': [83, 106]}]",False,16116,16494,1652,Mon Feb 27 10:25:35 +0000 2012,23542,,,False,False,299304,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/2298593721/z5fjd1daof0vkq0bkqpr_normal.jpeg,https://pbs.twimg.com/profile_images/2298593721/z5fjd1daof0vkq0bkqpr_normal.jpeg,https://pbs.twimg.com/profile_banners/505732940/1416415618,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,
Tue Mar 07 16:47:50 +0000 2023,1633147457293938697,1633147457293938697,"@Alex_Nielsen97 @BarcaUniversal I don't no I expect us to play good football because incase you haven't noticed scraping through and relying on luck works against celta,Mallorca,cadiz etc.
Once we face a not even huge team just a good team we completely fumble and shit ourselves it doesn't work against them",False,"[32, 308]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6331459842753454e+18,1633145984275345411,239869313.0,239869313,Alex_Nielsen97,,,,,False,0,0,False,False,,en,en,recent,1621650532979859466,1621650532979859466,AFCMUSE,afcmuse,,"All things and news football, MMA and NBA related.. here to have a good time, don't be too serious.. stay respectful and all opinions are welcomed🙏🏻🤝🏻⚽️🥊🏀",,,[],False,76,724,0,Fri Feb 03 23:23:50 +0000 2023,2947,,,False,False,5282,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1621671470127611904/lAKEXh7Y_normal.jpg,https://pbs.twimg.com/profile_images/1621671470127611904/lAKEXh7Y_normal.jpg,https://pbs.twimg.com/profile_banners/1621650532979859466/1675491883,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,
Tue Mar 07 16:45:44 +0000 2023,1633146926920089601,1633146926920089601,"New on the market!
Reformed townhouse in Alaró
🛏️4   🛁4   🏠174㎡   🌳156㎡

850.000 EUR
See full details: https://t.co/nW0zR5MTPd

📍#Alaro #Mallorca #Central #RealEstate #Immobilien https://t.co/HztJv5EqnO",False,"[0, 178]","<a href=""https://zapier.com/"" rel=""nofollow"">Zapier.com</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1923546216,1923546216,Engel & Völkers Mallorca,EVMallorca,Mallorca,Engel & Völkers is working successfully in luxury real estate in Mallorca as from 1990 and remains one of the most successful companies in real estate worldwide,https://t.co/IN45YSX5Xp,"[{'url': 'https://t.co/IN45YSX5Xp', 'expanded_url': 'http://www.engelvoelkers.com/mallorca', 'display_url': 'engelvoelkers.com/mallorca', 'indices': [0, 23]}]",[],False,772,222,46,Tue Oct 01 14:09:42 +0000 2013,181,,,True,False,5785,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/872765261321039872/-RpxffCE_normal.jpg,https://pbs.twimg.com/profile_images/872765261321039872/-RpxffCE_normal.jpg,https://pbs.twimg.com/profile_banners/1923546216/1591257638,ABB8C2,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],,,,,,,,,,,
Tue Mar 07 16:27:20 +0000 2023,1633142297994080256,1633142297994080256,"we don't want your cheap ass tourists.😁😂😂✌

Via @euronews: Mallorca: Holiday prices to surge by a third as island moves away from 'budget British tourists'
https://t.co/pCS5E3z3sw",False,"[0, 179]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,1350573171246845955,1350573171246845955,carlos victor valdez,carlosvictorva6,"Tecate, Baja California",Army veteran.  living in Mexico..#don't legalizeweed   . my views are my own. NO DMs  ffs🖕🏻🖕🏿🏄‍♂️✌👊,,,[],False,7587,8358,8,Sat Jan 16 22:38:53 +0000 2021,30023,,,True,False,35178,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1436155747390275588/t_74aQva_normal.jpg,https://pbs.twimg.com/profile_images/1436155747390275588/t_74aQva_normal.jpg,https://pbs.twimg.com/profile_banners/1350573171246845955/1667328140,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,
Tue Mar 07 16:14:03 +0000 2023,1633138952684306434,1633138952684306434,Rafael Nadal unveils impressive facility upgrades at his Academy in Mallorca https://t.co/8srSVwgzdT,False,"[0, 100]","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,,,,,,,,False,2,5,False,False,False,en,en,recent,1549647333926744064,1549647333926744064,FirstSportz Tennis,FS_Tennis1,Tennis court 🎾 ,"🎾 Instant Tennis Updates.

📊 Exclusive Stats, Contests & More.

⚙ Powered by https://t.co/iItL6jX8He",https://t.co/QPtn6JbRta,"[{'url': 'https://t.co/QPtn6JbRta', 'expanded_url': 'https://firstsportz.com/category/tennis/?amp', 'display_url': 'firstsportz.com/category/tenni…', 'indices': [0, 23]}]","[{'url': 'https://t.co/iItL6jX8He', 'expanded_url': 'http://FirstSportz.com', 'display_url': 'FirstSportz.com', 'indices': [77, 100]}]",False,647,229,7,Wed Jul 20 06:48:35 +0000 2022,86,,,False,False,3521,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1609552107421532160/rcUgxYm7_normal.jpg,https://pbs.twimg.com/profile_images/1609552107421532160/rcUgxYm7_normal.jpg,https://pbs.twimg.com/profile_banners/1549647333926744064/1666817994,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],,,,,,,,,,,
Tue Mar 07 16:08:47 +0000 2023,1633137627409838081,1633137627409838081,"Startups world in Mallorca 

#startup 
#balearics
@Connectup_es https://t.co/uA43jCa9Vx",False,"[0, 63]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,0,0,False,False,False,en,en,recent,202175331,202175331,Adria B.A.,Adria_MBA,Mallorca,“You make your own luck if you stay at it long enough.”,,,[],False,318,302,11,Wed Oct 13 13:28:14 +0000 2010,2314,,,False,False,4942,,False,False,False,1C516B,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1624905578366607363/8jgzNRUE_normal.jpg,https://pbs.twimg.com/profile_images/1624905578366607363/8jgzNRUE_normal.jpg,https://pbs.twimg.com/profile_banners/202175331/1676242653,EB8212,FFFFFF,4DB9EB,0A0A0A,True,False,False,False,False,False,False,none,[],,,,,,,,,,,
