created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,possibly_sensitive
Wed Mar 01 00:20:40 +0000 2023,1630724701696737286,1630724701696737286,"@StokeyyG2 Favourite team from each country 
🏴󠁧󠁢󠁥󠁮󠁧󠁿 : Manchester City
🇪🇸 : Real Madrid
🇮🇹 : Inter Milan
🇫🇷 : Nîmes Olympique
🇩🇪 : Schalke 04
🇳🇱 : ❌
🇵🇹 : Porto",False,"[11, 159]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.6306087524276388e+18,1630608752427638790,1.303026765737218e+18,1303026765737218049,StokeyyG2,,,,,False,0,1,False,False,en,en,recent,1456939333160689665,1456939333160689665,Un Nîmois,UNimois,,Légendaire,,[],False,2,17,0,Sat Nov 06 11:01:42 +0000 2021,19,,,False,False,254,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1456942395896082432/I00t76qI_normal.jpg,https://pbs.twimg.com/profile_images/1456942395896082432/I00t76qI_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],
Sat Feb 25 22:50:22 +0000 2023,1629614810030657536,1629614810030657536,"Guess who is back with a bang? 

@TheGambiaFF International, Ablie Jallow has played 88 minutes in @FCMetz's 2-0 victory over Nîmes Olympique. 

Ablie Jallow created the most chances (2) in the match. https://t.co/3NYawkEXqX",False,"[0, 200]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,2,8,False,False,en,en,recent,3089736095,3089736095,Ebrima KB Sonko ~ Journalist 🇬🇲,EbrimaSonko5,Banjul,"I'm an Award 🏆 Winning Sports Journalist, a trained teacher, an activist, and a social commentator.",,[],False,540,1272,1,Thu Mar 12 19:41:20 +0000 2015,654,,,False,False,344,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1243842246803423233/OYpnFo20_normal.jpg,https://pbs.twimg.com/profile_images/1243842246803423233/OYpnFo20_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[],False
